"","influenza_mar"
"1",0.000270131583411324
"2",0.000162337115880431
"3",5.43106684366096e-05
"4",0.00027187949015131
"5",0.0003241914830299
"6",0.000324191483029884
"7",5.42953011880751e-05
"8",0.000488252552559948
"9",5.40790217999874e-05
"10",0.000271295142161537
"11",0.000325602920561909
"12",0.00032387530769991
"13",0.000108313425854712
"14",5.42953011880679e-05
"15",0.000162818281568455
"16",5.40790217999997e-05
"17",5.4295301188078e-05
"18",0.000648203485877704
"19",0.000162723522935677
"20",0.000269648441564445
"21",0.000216906870412838
"22",0.000108645040849362
"23",5.40790217999931e-05
"24",0.000379180748501067
"25",0.000162723522935662
"26",0.000422438777806386
"27",0.000597516570145096
"28",5.4175986944386e-05
"29",5.43427906690961e-05
"30",0.000216926397480689
"31",5.43427906691082e-05
"32",0.000271598261277619
"33",5.429530118808e-05
"34",0.000432321584081505
"35",0.000108479055931539
"36",5.42953011880622e-05
"37",0.00043429384391547
"38",0.00021706969364956
"39",5.40790217999895e-05
"40",5.4342790669106e-05
"41",5.43427906691103e-05
"42",5.39697838057683e-05
"43",5.4079021799983e-05
"44",5.407902179999e-05
"45",0.000161203735280971
"46",0.000216692117309716
"47",5.40790217999938e-05
"48",0.000217196720113216
"49",0.000108479055931547
"50",5.39697838057761e-05
"51",0.000108479055931531
"52",5.40790217999846e-05
"53",0.000432349607113849
"54",5.4079021799992e-05
"55",0.000108479055931548
"56",0.000217695305614288
"57",0.000695855790036394
"58",0.000533785861442472
"59",0.000543826606079227
"60",0.000154897145314034
"61",0.00010875287214256
"62",0.000326216210155824
"63",5.43006612887581e-05
"64",5.43006612887517e-05
"65",5.43006612887484e-05
"66",5.43006612887447e-05
"67",0.000870572267048044
"68",0.000271336123439992
"69",0.000649212447130888
"70",5.40790217999882e-05
"71",0.00010817920884082
"72",0.000153619800358092
"73",0.000153619800358103
"74",0.000153619800358094
"75",0.000759415274126737
"76",5.42953011880858e-05
"77",0.000650203912786141
"78",0.000203725954608265
"79",0.00084828177922145
"80",0.000207840030466325
"81",0.000638178652345831
"82",0.000104684422652003
"83",0.00010468442265202
"84",0.000104684422652011
"85",0.000158831136186566
"86",0.000158831136186573
"87",0.000158831136186578
"88",0.000257783083251243
"89",0.000158831136186575
"90",0.00015892408073626
"91",0.00010468442265201
"92",0.000108098971314268
"93",0.000324901203946107
"94",0.000378932829373195
"95",5.43427906690951e-05
"96",0.000108098971314255
"97",0.000108098971314263
"98",0.00021503698489405
"99",5.43427906691018e-05
"100",0.000543157870270326
"101",0.00010809897131425
"102",0.000703966005587838
"103",0.000532638963108685
"104",0.000215036984894035
"105",0.000161302278927926
"106",0.000161302278927912
"107",0.000161302278927922
"108",0.000108098971314258
"109",0.000161302278927911
"110",0.000324461753992995
"111",0.000215036984894044
"112",0.000215036984894047
"113",0.000435091556592406
"114",0.000161302278927917
"115",0.000161298640803849
"116",0.000106999764725338
"117",0.000270374854393541
"118",5.41903793287952e-05
"119",0.00059603903602231
"120",0.000161298640803845
"121",0.000108451610182106
"122",0.000106999764725338
"123",0.000106999764725321
"124",0.000106999764725329
"125",0.000106999764725326
"126",0.000106999764725329
"127",0.00015387133563892
"128",0.000106999764725324
"129",0.000106999764725338
"130",0.000106999764725329
"131",0.000106999764725331
"132",0.000106999764725338
"133",0.000213718162119682
"134",0.000270182896181282
"135",0.000162107446718712
"136",5.40790217999911e-05
"137",0.000487657358488192
"138",0.00097414355438011
"139",0.000647748155960647
"140",0.000380581066518791
"141",0.000652717265499429
"142",0.000271019984581773
"143",0.000217355823625941
"144",5.43427906690979e-05
"145",0.000217003171217416
"146",5.40790217999885e-05
"147",5.43427906690994e-05
"148",5.43427906691071e-05
"149",0.000217288695917279
"150",0.000108098971314256
"151",0.000108479055931538
"152",5.42953011880826e-05
"153",5.43106684366134e-05
"154",0.000108479055931533
"155",0.000162922555192296
"156",0.000596206644626602
"157",5.40790217999824e-05
"158",5.25775948856428e-05
"159",0.000162246691392088
"160",5.40790217999858e-05
"161",0.000217071975877241
"162",5.40790217999922e-05
"163",5.43106684366135e-05
"164",5.25775948856441e-05
"165",5.40790217999797e-05
"166",5.42953011880821e-05
"167",5.40790217999992e-05
"168",0.000162922555192312
"169",0.000108479055931537
"170",0.000162922555192299
"171",5.4342790669101e-05
"172",5.41903793288063e-05
"173",0.000162439409904826
"174",5.40790217999945e-05
"175",0.000108479055931543
"176",0.000209550724537985
"177",0.000101118414675512
"178",4.73068036995927e-05
"179",0.000269240519861923
"180",0.000540251217177674
"181",0.000272065160989333
"182",0.000162123669183416
"183",0.000324572856786412
"184",0.000542939317081741
"185",0.000482651855764941
"186",0.000108684629942162
"187",0.000488259848319387
"188",0.000541966513309384
"189",0.000434201009488375
"190",0.000163085277397526
"191",5.43427906691047e-05
"192",0.000651851172153543
"193",0.000270154734569258
"194",0.000108098971314257
"195",0.000488601253748499
"196",0.000433753473542993
"197",0.000595370669066207
"198",0.000706118123648291
"199",0.000542659824113548
"200",0.000488259848319404
"201",0.000214454215419693
"202",0.00048866576624248
"203",0.000542659824113563
"204",0.000543831493074395
"205",0.00065129639363796
"206",0.000488417719433142
"207",0.000648207386588359
"208",0.000541359859981205
"209",0.000541966513309391
"210",0.000643719181033355
"211",0.00010809897131426
"212",0.000596266372211149
"213",0.000542406335889131
"214",0.000324523261163645
"215",0.000541954184155492
"216",0.000594827899807067
"217",0.000324384702108604
"218",0.000214332432700053
"219",0.00043375086959516
"220",0.000541709203600347
"221",0.000651083395569279
"222",0.000272027100712903
"223",0.000429423177737339
"224",0.000267018655606048
"225",0.000973166403577655
"226",0.000596555704440492
"227",0.000596266372211147
"228",0.000595755860157203
"229",0.000542026764914437
"230",0.000326301278904013
"231",0.000596266372211168
"232",0.000217593936926957
"233",0.000433917625212648
"234",0.000161059634554627
"235",0.000433608896446653
"236",0.000487816804596019
"237",0.000325248290497494
"238",0.000379716476693369
"239",0.000216078759182097
"240",5.43427906691106e-05
"241",0.000595520167441705
"242",0.000703213274748723
"243",0.000758740081190226
"244",0.00021371816211968
"245",0.000597245669351731
"246",0.000595187081728739
"247",0.000160118905498957
"248",0.000542783794492164
"249",0.000542248028011134
"250",0.000543022273449438
"251",0.000596574776906001
"252",0.000484029901427487
"253",0.000487207016543133
"254",0.000648234136651036
"255",0.000650450366587578
"256",0.000595323828530648
"257",0.000325380271693294
"258",0.000648731898100998
"259",0.000595604472989677
"260",0.000324847174839092
"261",0.000542087384745529
"262",0.00010678832683514
"263",0.000379628625989424
"264",0.000379628625989424
"265",5.35728167184368e-05
"266",0.000595604472989676
"267",0.000269941492499781
"268",0.000650103427008362
"269",0.000541445870814502
"270",0.000648234136651046
"271",0.000106788326835135
"272",0.000539719472791852
"273",0.000594865164963824
"274",0.00054164293312053
"275",0.000594774115012011
"276",0.000161154099758874
"277",0.000433841176377191
"278",0.000595772966770844
"279",0.000106788326835138
"280",0.000648234136651027
"281",0.000162350787443787
"282",0.000542087384745568
"283",0.000106788326835135
"284",0.000541028659052766
"285",0.000595526291276451
"286",0.000649379930042027
"287",0.00103057371655485
"288",0.00037962862598942
"289",0.000106788326835133
"290",0.00032495926057676
"291",0.00021648797370212
"292",0.000542087384745532
"293",0.000487877520353536
"294",0.000542783794492158
"295",0.000595624720209279
"296",0.000106788326835128
"297",0.000756790925874479
"298",5.35728167184387e-05
"299",0.000106788326835126
"300",0.000542087384745536
"301",0.000106788326835137
"302",0.000648234136651021
"303",0.000542087384745557
"304",0.000543890086958644
"305",0.00043489650484036
"306",0.000489308379572826
"307",0.000105644055639977
"308",5.43427906691001e-05
"309",0.000434778715152491
"310",0.00016178218328959
"311",0.000374776621863955
"312",0.000108684629942158
"313",0.000542631400366829
"314",0.000596266372211136
"315",0.000107317777081854
"316",0.000108750188026444
"317",0.000430084339123317
"318",5.33996379539618e-05
"319",5.33996379539498e-05
"320",0.000212746179506782
"321",0.000595455871448654
"322",5.3399637953951e-05
"323",0.000707419182068031
"324",0.000217628316296695
"325",0.000108675933288745
"326",0.000162884978463782
"327",0.000163100103265931
"328",0.000543869613841868
"329",0.000488253037039753
"330",0.000217593936926935
"331",0.000488785128457221
"332",5.4342790669109e-05
"333",5.4342790669109e-05
"334",0.000215954321879029
"335",0.000597564060988372
"336",5.4342790669094e-05
"337",0.000217531238629452
"338",0.000108529477213113
"339",0.000271912600213823
"340",0.000271898119119554
"341",0.000904077916796624
"342",5.43427906691009e-05
"343",0.000271077839877103
"344",5.4342790669105e-05
"345",0.000108756963407101
"346",0.000596428705431608
"347",0.000108611521767121
"348",0.000217593936926942
"349",0.000103479204539495
"350",0.000326031731600645
"351",0.000435058220956674
"352",0.000815789115890329
"353",0.000163206173631395
"354",0.000271992852311147
"355",0.000163176854824421
"356",0.000108098971314265
"357",0.000271898119119552
"358",0.000217593936926939
"359",0.000326450022365573
"360",0.000108611521767122
"361",0.000108779258799673
"362",5.43427906690943e-05
"363",0.000380263853659745
"364",5.43427906691004e-05
"365",0.000163107791404698
"366",0.000217273947664679
"367",0.000380639696574728
"368",0.000432358773702295
"369",5.43427906691004e-05
"370",0.000163067909695201
"371",0.000372327793805335
"372",0.000100789482581453
"373",0.000100789482581451
"374",9.98764579520761e-05
"375",9.98764579520705e-05
"376",9.98764579520791e-05
"377",9.9876457952071e-05
"378",9.98764579520808e-05
"379",0.000597532529130541
"380",5.43006612887402e-05
"381",5.43006612887527e-05
"382",5.40790218000008e-05
"383",5.42953011880803e-05
"384",5.42953011880761e-05
"385",9.98764579520666e-05
"386",9.9876457952078e-05
"387",0.000159081226371765
"388",0.00010468442265201
"389",0.000754828523541573
"390",0.000426096883463937
"391",0.000158831136186565
"392",0.00048460839487951
"393",0.000104684422652019
"394",0.000108098971314259
"395",0.000108098971314267
"396",0.000214832626780065
"397",0.000325056168080243
"398",0.000270938674225273
"399",5.43427906691031e-05
"400",0.00027179609744233
"401",5.43427906691024e-05
"402",0.000215036984894032
"403",0.000269506502835004
"404",0.000108520114549206
"405",0.000107317777081833
"406",0.000161302278927921
"407",5.37907741738996e-05
"408",0.000106999764725316
"409",0.000106999764725327
"410",0.000106999764725328
"411",0.000433209714592249
"412",0.000215319012604277
"413",0.000270613631366832
"414",0.000217253507834957
"415",5.43851604611774e-05
"416",5.43851604611815e-05
"417",5.43851604611862e-05
"418",5.43851604611718e-05
"419",5.43851604611699e-05
"420",5.43851604611751e-05
"421",0.000271616198513699
"422",5.43851604611869e-05
"423",5.43851604611677e-05
"424",5.43851604611804e-05
"425",5.43851604611743e-05
"426",5.43851604611826e-05
"427",5.4385160461171e-05
"428",5.43851604611819e-05
"429",5.43851604611748e-05
"430",0.000759831737326954
"431",5.43851604611784e-05
"432",5.43851604611666e-05
"433",5.43851604611751e-05
"434",5.43851604611763e-05
"435",5.43851604611674e-05
"436",5.43851604611831e-05
"437",5.43851604611651e-05
"438",5.43851604611759e-05
"439",5.43851604611753e-05
"440",5.43851604611796e-05
"441",5.43851604611747e-05
"442",5.43851604611784e-05
"443",5.43851604611724e-05
"444",5.43851604611802e-05
"445",5.43851604611745e-05
"446",5.43851604611763e-05
"447",5.43851604611828e-05
"448",5.43851604611713e-05
"449",5.4385160461173e-05
"450",5.43851604611743e-05
"451",5.43851604611698e-05
"452",5.43851604611793e-05
"453",5.43851604611808e-05
"454",5.43851604611767e-05
"455",5.43851604611821e-05
"456",5.43851604611817e-05
"457",5.43851604611764e-05
"458",5.43851604611756e-05
"459",5.43851604611819e-05
"460",5.4385160461176e-05
"461",0.00076169786893191
"462",5.43851604611672e-05
"463",0.000272036640924711
"464",0.00038064683187419
"465",0.000488044820870047
"466",0.000162910160154593
"467",0.00043453756846068
"468",0.000163183278283278
"469",5.43851604611752e-05
"470",5.43851604611776e-05
"471",0.00059492062782707
"472",5.4385160461174e-05
"473",5.43851604611701e-05
"474",0.000107423327577959
"475",0.000487954605554995
"476",0.000487607813275332
"477",0.000488456559257837
"478",5.43851604611769e-05
"479",5.4385160461179e-05
"480",5.43851604611761e-05
"481",5.4385160461171e-05
"482",5.43851604611765e-05
"483",0.000108421404012569
"484",0.000758920980522684
"485",0.000435110848156106
"486",5.43851604611809e-05
"487",5.43851604611797e-05
"488",5.43851604611733e-05
"489",5.43851604611749e-05
"490",5.43851604611785e-05
"491",5.43851604611697e-05
"492",5.4385160461172e-05
"493",5.43851604611763e-05
"494",5.43851604611758e-05
"495",5.4385160461178e-05
"496",5.43851604611824e-05
"497",5.4385160461175e-05
"498",5.43851604611788e-05
"499",5.43851604611844e-05
"500",5.43851604611738e-05
"501",5.4385160461179e-05
"502",5.43851604611796e-05
"503",5.43851604611691e-05
"504",5.43851604611761e-05
"505",5.43851604611831e-05
"506",5.4385160461176e-05
"507",5.43851604611732e-05
"508",5.43851604611776e-05
"509",5.4385160461175e-05
"510",0.000162831749255714
"511",5.43851604611748e-05
"512",5.4385160461175e-05
"513",5.43851604611739e-05
"514",5.43851604611764e-05
"515",5.43851604611716e-05
"516",5.43851604611748e-05
"517",5.43851604611775e-05
"518",5.43851604611634e-05
"519",5.43851604611808e-05
"520",5.43851604611736e-05
"521",5.4385160461173e-05
"522",0.000108493784008842
"523",5.43851604611819e-05
"524",5.43851604611683e-05
"525",5.4385160461179e-05
"526",5.43851604611669e-05
"527",5.43851604611879e-05
"528",5.43851604611791e-05
"529",5.43851604611726e-05
"530",5.43851604611716e-05
"531",5.43851604611751e-05
"532",5.43851604611753e-05
"533",5.43851604611921e-05
"534",5.43851604611819e-05
"535",5.43851604611751e-05
"536",5.43851604611771e-05
"537",5.43851604611789e-05
"538",5.43851604611771e-05
"539",5.43851604611796e-05
"540",5.43851604611721e-05
"541",0.000108710192296107
"542",0.000108733997020615
"543",5.43851604611745e-05
"544",5.43851604611735e-05
"545",5.43851604611761e-05
"546",0.000707460455267591
"547",0.000543971553255152
"548",5.43851604611748e-05
"549",0.00054382253226345
"550",5.43851604611759e-05
"551",0.000379894058347315
"552",5.43851604611785e-05
"553",5.43851604611766e-05
"554",0.00059492062782704
"555",5.4385160461168e-05
"556",5.4385160461173e-05
"557",5.43851604611714e-05
"558",5.43851604611799e-05
"559",5.43851604611765e-05
"560",5.43851604611774e-05
"561",5.438516046117e-05
"562",5.43851604611809e-05
"563",5.43851604611821e-05
"564",5.4385160461169e-05
"565",5.43851604611777e-05
"566",5.43851604611794e-05
"567",0.000162974317763967
"568",0.000162446694525352
"569",0.000487511933204241
"570",0.000161048621569025
"571",5.4175986944392e-05
"572",0.000596543756749765
"573",0.000700493254400793
"574",0.000213278655383551
"575",0.000596906816943899
"576",0.000919062976153019
"577",0.000380220137193929
"578",0.000643192906238615
"579",0.000591067479008904
"580",0.000593685509172938
"581",0.000434225894888788
"582",0.000595583388796221
"583",0.000539998407516675
"584",0.000269612312076301
"585",0.000432955034235582
"586",0.000325138279441449
"587",0.000379514406450077
"588",0.000377788204851797
"589",5.41759869443917e-05
"590",0.000650288839994541
"591",0.000162729698241053
"592",0.000435012113212727
"593",0.000216998866963961
"594",0.000108489493987707
"595",0.000537277173874279
"596",0.000101450049783905
"597",0.000155731721457531
"598",0.00048156298344331
"599",0.000486369358061088
"600",0.000378037422375103
"601",0.000322382898721375
"602",0.000372179817925438
"603",5.25775948856437e-05
"604",0.000106860911931819
"605",0.000318065823136525
"606",0.000541266890848482
"607",5.25775948856408e-05
"608",0.000432440015553722
"609",0.000591960587503666
"610",0.000106984279376064
"611",0.00043241230349878
"612",5.25775948856448e-05
"613",5.2577594885642e-05
"614",0.000270679282655185
"615",0.000431600036429788
"616",0.000486664667758985
"617",0.000108533009201354
"618",0.000536960685613785
"619",0.000216477402913207
"620",0.000162107446718704
"621",0.000215759495002406
"622",0.000271215748267974
"623",0.000271071876705831
"624",0.000488274182102697
"625",0.000760038015708408
"626",0.000216477402913209
"627",0.000160382346577166
"628",0.000325320620210375
"629",0.000269601674758365
"630",0.000108663917933519
"631",0.000217233051342389
"632",0.000214319552932034
"633",0.000591504212711976
"634",0.000271540766399194
"635",0.000429159086665096
"636",0.000107968997634847
"637",0.000324616397071161
"638",0.000162873321449208
"639",0.000486664667758988
"640",0.000973255292802338
"641",0.000107968997634853
"642",0.000216477402913219
"643",0.000108698010303256
"644",0.000429159086665109
"645",0.000108501981962581
"646",0.00016287332144921
"647",0.0001621074467187
"648",0.000162975677763564
"649",0.000216477402913204
"650",0.000216477402913211
"651",0.000216477402913203
"652",0.000216477402913211
"653",0.000324801201243946
"654",0.000107968997634855
"655",0.000160355419993189
"656",0.00016218146149515
"657",0.000216477402913215
"658",0.000108501981962583
"659",0.000377713830952738
"660",5.43106684366133e-05
"661",0.000536836131509997
"662",0.000162873321449207
"663",0.000216477402913217
"664",0.000162873321449205
"665",0.000325031220929855
"666",0.000162107446718706
"667",0.000107343625891771
"668",0.000216477402913213
"669",0.000650359516334685
"670",0.000378809488345616
"671",0.000268999590457734
"672",5.42372540247627e-05
"673",0.0001605802903435
"674",0.000214473880192095
"675",0.000759478125057505
"676",0.00032578655160125
"677",5.4237254024761e-05
"678",5.42372540247546e-05
"679",0.00010850198196258
"680",0.000217368146702368
"681",0.00016287332144921
"682",0.000108501981962594
"683",0.000108501981962588
"684",5.43106684366196e-05
"685",0.00064905273864289
"686",0.000488802334210942
"687",0.000488455906912636
"688",5.43106684366206e-05
"689",0.000162709324387857
"690",0.000486094586323943
"691",0.000107335909699033
"692",0.000162783577827058
"693",0.000161451455723637
"694",0.00010850198196258
"695",0.000706050437546417
"696",0.000107287890655586
"697",5.39697838057775e-05
"698",0.000162206965688169
"699",0.000108313698831239
"700",0.000107862856793357
"701",0.000107862856793358
"702",0.000542306768339233
"703",0.000596949871523223
"704",0.000433481008294138
"705",0.000595990209133611
"706",0.000269541310139065
"707",5.39697838057749e-05
"708",0.00010786285679336
"709",0.000216197449664401
"710",0.000378865067989699
"711",0.000325549093640815
"712",0.000595884090312101
"713",0.000215442925884618
"714",0.000323627290183051
"715",0.000215442925884625
"716",0.000431878795595893
"717",0.000161048621569029
"718",0.000542624892511569
"719",0.000324737362884006
"720",0.000433785407673408
"721",0.00032496868357218
"722",0.00054321907290817
"723",0.000488066799682255
"724",0.000541285207779729
"725",0.000107862856793366
"726",0.00032546576899161
"727",0.00043372339121316
"728",0.000107862856793361
"729",0.000433137713261459
"730",0.000378675570106288
"731",0.000107862856793362
"732",0.000325369665330939
"733",0.000325352934411614
"734",0.000107862856793359
"735",0.000107862856793368
"736",0.000650643681638964
"737",0.000270384104909106
"738",0.000216382312117923
"739",0.000162316224590637
"740",0.000271072095361281
"741",5.39697838057768e-05
"742",0.000379456073417253
"743",0.000107862856793363
"744",0.00010786285679336
"745",0.000216382312117923
"746",5.39697838057799e-05
"747",0.000325053499553934
"748",0.000107862856793366
"749",0.000107862856793366
"750",0.000269744458365006
"751",0.00016104862156903
"752",5.39697838057774e-05
"753",0.00010786285679336
"754",5.39697838057841e-05
"755",0.000107862856793363
"756",0.000216481896927421
"757",0.000107862856793362
"758",5.39697838057755e-05
"759",0.000107862856793363
"760",0.000216924516434809
"761",5.39697838057755e-05
"762",0.00027069257823983
"763",0.000107862856793359
"764",0.000162190706387981
"765",0.000325586466756219
"766",0.000211301065195091
"767",0.000162181316831766
"768",0.000378830295048391
"769",0.000215442925884627
"770",0.000161048621569029
"771",0.000595495309982425
"772",0.000705120870656556
"773",5.39697838057783e-05
"774",0.000321230031986397
"775",0.000323044634267736
"776",0.000107862856793361
"777",0.00021543258227595
"778",0.000377362740712033
"779",0.000650112392305527
"780",0.000488461205389132
"781",0.000107862856793359
"782",0.000596699123699538
"783",0.00021479312716204
"784",0.000107862856793356
"785",0.000216618573825305
"786",0.000215442925884622
"787",0.000541440897146525
"788",0.000649695387271738
"789",0.000649667869000446
"790",0.000107862856793366
"791",0.000270958562904095
"792",0.000432408643852114
"793",0.000162262247358805
"794",0.000108637513150289
"795",0.000378649736952847
"796",0.000216589849335568
"797",0.000216580279982577
"798",5.41903793287992e-05
"799",5.41903793288055e-05
"800",0.000324468289609109
"801",5.39697838057745e-05
"802",0.000324861371043351
"803",0.000487447122101696
"804",0.000215442925884624
"805",0.00027114754122504
"806",0.000161048621569028
"807",0.000162181316831769
"808",0.00016109060585976
"809",5.39697838057849e-05
"810",0.000705331796662314
"811",0.000108240325778275
"812",5.39697838057781e-05
"813",0.000324150656392498
"814",5.39697838057838e-05
"815",5.39697838057733e-05
"816",5.43427906691062e-05
"817",0.000538975938704284
"818",5.43427906691032e-05
"819",0.00016082265997879
"820",5.43427906690984e-05
"821",5.41903793287983e-05
"822",0.000108519092000402
"823",5.41903793288013e-05
"824",5.41903793288031e-05
"825",5.41903793288007e-05
"826",5.40790217999879e-05
"827",5.40790217999902e-05
"828",0.000270707579235922
"829",0.00010837500286315
"830",0.000379569352098658
"831",0.000324507732383588
"832",0.000486512174592196
"833",0.000379017472804409
"834",0.000325368361931045
"835",0.000325648631867061
"836",0.000324421178514902
"837",0.00037944837055114
"838",0.000700975553412707
"839",0.00027091625601489
"840",0.00010856048018763
"841",0.000433449964851732
"842",0.000433116069564198
"843",0.000378930430002021
"844",0.000324421178514909
"845",0.000595288263213696
"846",0.000431181284412747
"847",0.000324421178514908
"848",0.000542480213402803
"849",5.42953011880837e-05
"850",0.000324421178514915
"851",0.000434431619253667
"852",0.000760897200802253
"853",0.000378887364004064
"854",0.000489357846569988
"855",0.000270229066933206
"856",0.000814146690511044
"857",0.000537146507993541
"858",0.00016251231258599
"859",5.42953011880782e-05
"860",0.000597765242525086
"861",0.00048596698275161
"862",0.000161829435781315
"863",0.000378758532259156
"864",0.000161313767864035
"865",0.000324421178514893
"866",0.000108524036107952
"867",0.000324809222732093
"868",0.000162776439576516
"869",0.000379017472804404
"870",0.000596293024820321
"871",0.000651659495622281
"872",0.000268706778898914
"873",5.42953011880766e-05
"874",0.000108594078301199
"875",0.000217249912677791
"876",0.000325630755799161
"877",0.000324421178514902
"878",0.000324421178514902
"879",0.000162869935504531
"880",0.000705764075766024
"881",0.000324557582663426
"882",0.000216711586684397
"883",0.000162776439576499
"884",0.000377730413524364
"885",0.000217375055160522
"886",0.000380630029309917
"887",0.000162776439576506
"888",0.000267365447978929
"889",0.000212511058725436
"890",0.000318527254441101
"891",0.000324421178514896
"892",0.000324421178514911
"893",0.00038049186356272
"894",0.00010859407830119
"895",0.000213842235500592
"896",0.000217039002062883
"897",0.00027078768156243
"898",0.000162514061943555
"899",0.000813748368747428
"900",5.42953011880748e-05
"901",0.000270217558671331
"902",5.43170278420983e-05
"903",0.000270217558671337
"904",0.000270217558671327
"905",5.43170278420962e-05
"906",0.000108533171456854
"907",0.000108533171456859
"908",0.000270217558671332
"909",5.43170278420965e-05
"910",0.000216581927318
"911",0.000162382577804497
"912",5.43170278420941e-05
"913",0.000271484538794996
"914",0.000162382577804504
"915",0.00016278570160891
"916",0.000108615930236157
"917",0.000108269861654782
"918",5.43170278420942e-05
"919",0.000216581927318004
"920",0.000162785701608918
"921",0.000108533171456858
"922",0.000433535392730022
"923",0.000216073243492615
"924",0.000216581927317996
"925",0.000162382577804499
"926",0.000652244311755928
"927",0.0001629842665253
"928",0.000379615676357485
"929",5.43170278420962e-05
"930",0.000108533171456854
"931",0.000108533171456862
"932",0.000108747249224505
"933",0.000380533521349413
"934",5.4317027842096e-05
"935",0.00010853317145685
"936",5.43170278420883e-05
"937",0.000162512876591976
"938",0.00027021755867133
"939",0.000162785701608915
"940",0.000162915078619433
"941",0.000216073243492615
"942",0.000108533171456853
"943",0.000216581927318001
"944",5.4317027842094e-05
"945",5.43170278420898e-05
"946",0.000216581927317999
"947",5.43170278420947e-05
"948",0.000430522995488938
"949",0.0001628891476039
"950",0.00026930547367142
"951",0.000107939247628854
"952",0.000107070223903426
"953",0.000107875099202518
"954",0.000216571283288938
"955",0.000108001196303659
